photo_id,path,angle_label,width,height,file_size,split,extension
270__none__452038,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\452038.jpeg,270,256,170,3958,none,.jpeg
270__none__209535,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\209535.jpeg,270,256,192,5451,none,.jpeg
180__none__68788,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\68788.jpeg,180,256,236,7734,none,.jpeg
130__none__288894,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\288894.jpeg,130,256,144,4535,none,.jpeg
90__none__124111,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\124111.jpeg,90,256,144,5536,none,.jpeg
270__none__480999,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\480999.jpeg,270,256,192,4604,none,.jpeg
270__none__190760,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\190760.jpeg,270,256,144,4218,none,.jpeg
180__none__433887,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\433887.jpeg,180,256,144,2522,none,.jpeg
130__none__464335,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\464335.jpeg,130,256,192,5597,none,.jpeg
270__none__207554,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\207554.jpeg,270,256,144,4344,none,.jpeg
180__none__132534,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\132534.jpeg,180,256,192,5591,none,.jpeg
90__none__234183,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\234183.jpeg,90,256,144,3569,none,.jpeg
180__none__374684,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\374684.jpeg,180,256,192,4798,none,.jpeg
270__none__332750,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\332750.jpeg,270,256,144,3864,none,.jpeg
90__none__296449,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\296449.jpeg,90,256,192,4548,none,.jpeg
180__none__301853,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\301853.jpeg,180,256,144,3017,none,.jpeg
130__none__157815,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\157815.jpeg,130,256,192,4668,none,.jpeg
270__none__251332,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\251332.jpeg,270,256,192,5605,none,.jpeg
270__none__389477,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\389477.jpeg,270,256,192,3277,none,.jpeg
130__none__353753,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\353753.jpeg,130,256,144,5069,none,.jpeg
180__none__467073,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\467073.jpeg,180,256,192,3182,none,.jpeg
130__none__474825,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\474825.jpeg,130,256,192,3986,none,.jpeg
180__none__432975,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\432975.jpeg,180,256,170,6759,none,.jpeg
270__none__294000,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\294000.jpeg,270,256,192,5404,none,.jpeg
270__none__405180,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\405180.jpeg,270,256,192,4060,none,.jpeg
0__none__390846,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\390846.jpeg,0,256,192,7935,none,.jpeg
0__none__82973,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\82973.jpeg,0,256,144,4833,none,.jpeg
0__none__456374,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\456374.jpeg,0,256,144,5265,none,.jpeg
90__none__115502,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\115502.jpeg,90,256,144,5016,none,.jpeg
130__none__410525,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\410525.jpeg,130,256,192,4631,none,.jpeg
130__none__119719,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\119719.jpeg,130,256,144,4007,none,.jpeg
90__none__12702,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\12702.jpeg,90,256,144,4750,none,.jpeg
180__none__240009,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\240009.jpeg,180,256,144,3395,none,.jpeg
130__none__130478,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\130478.jpeg,130,256,144,4332,none,.jpeg
90__none__182294,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\182294.jpeg,90,256,144,5075,none,.jpeg
90__none__223897,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\223897.jpeg,90,256,191,5472,none,.jpeg
0__none__81829,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\81829.jpeg,0,256,144,3398,none,.jpeg
130__none__87985,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\87985.jpeg,130,256,144,3807,none,.jpeg
180__none__318120,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\318120.jpeg,180,256,144,4513,none,.jpeg
0__none__163811,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\163811.jpeg,0,256,144,4288,none,.jpeg
130__none__330224,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\330224.jpeg,130,256,144,4000,none,.jpeg
180__none__169967,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\169967.jpeg,180,256,192,2729,none,.jpeg
90__none__196914,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\196914.jpeg,90,256,144,4812,none,.jpeg
180__none__192166,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\192166.jpeg,180,256,144,5370,none,.jpeg
0__none__496050,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\496050.jpeg,0,256,192,5459,none,.jpeg
130__none__379915,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\379915.jpeg,130,256,144,4558,none,.jpeg
270__none__482544,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\482544.jpeg,270,256,192,5988,none,.jpeg
0__none__432402,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\432402.jpeg,0,256,192,6610,none,.jpeg
0__none__143197,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\143197.jpeg,0,256,192,9222,none,.jpeg
90__none__45847,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\45847.jpeg,90,256,144,3694,none,.jpeg
180__none__306611,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\306611.jpeg,180,256,144,3246,none,.jpeg
130__none__292263,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\292263.jpeg,130,256,144,4144,none,.jpeg
130__none__156614,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\156614.jpeg,130,256,192,3986,none,.jpeg
130__none__134681,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\134681.jpeg,130,256,144,5060,none,.jpeg
0__none__214327,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\214327.jpeg,0,256,144,3526,none,.jpeg
90__none__22624,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\22624.jpeg,90,256,191,3361,none,.jpeg
0__none__151766,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\151766.jpeg,0,256,192,5897,none,.jpeg
90__none__16040,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\16040.jpeg,90,256,192,5152,none,.jpeg
130__none__123189,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\123189.jpeg,130,256,144,4131,none,.jpeg
90__none__270838,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\270838.jpeg,90,256,144,3838,none,.jpeg
270__none__334187,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\334187.jpeg,270,256,144,4671,none,.jpeg
0__none__398032,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\398032.jpeg,0,256,192,9575,none,.jpeg
90__none__211122,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\211122.jpeg,90,256,192,2545,none,.jpeg
0__none__417735,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\417735.jpeg,0,256,144,4704,none,.jpeg
90__none__288003,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\288003.jpeg,90,256,144,6451,none,.jpeg
90__none__144010,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\144010.jpeg,90,256,144,5052,none,.jpeg
180__none__177062,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\177062.jpeg,180,256,144,4050,none,.jpeg
180__none__183271,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\183271.jpeg,180,256,144,4440,none,.jpeg
270__none__439504,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\439504.jpeg,270,256,144,3812,none,.jpeg
90__none__336258,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\336258.jpeg,90,256,192,5704,none,.jpeg
180__none__190240,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\190240.jpeg,180,256,192,6773,none,.jpeg
0__none__132725,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\132725.jpeg,0,256,192,6233,none,.jpeg
180__none__391973,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\391973.jpeg,180,256,144,3439,none,.jpeg
270__none__369005,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\369005.jpeg,270,256,144,3825,none,.jpeg
180__none__215762,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\215762.jpeg,180,256,144,3612,none,.jpeg
0__none__446494,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\446494.jpeg,0,256,192,3433,none,.jpeg
0__none__272192,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\272192.jpeg,0,256,191,8809,none,.jpeg
90__none__24306,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\24306.jpeg,90,256,192,4503,none,.jpeg
180__none__262885,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\262885.jpeg,180,256,144,2872,none,.jpeg
0__none__172675,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\172675.jpeg,0,256,144,3684,none,.jpeg
0__none__96500,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\96500.jpeg,0,256,192,8082,none,.jpeg
180__none__259812,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\259812.jpeg,180,256,144,3699,none,.jpeg
0__none__125463,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\125463.jpeg,0,256,144,3294,none,.jpeg
0__none__209351,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\209351.jpeg,0,256,192,5515,none,.jpeg
180__none__234066,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\234066.jpeg,180,256,144,4854,none,.jpeg
180__none__265040,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\265040.jpeg,180,256,144,3840,none,.jpeg
180__none__133447,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\133447.jpeg,180,256,144,2596,none,.jpeg
90__none__205998,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\205998.jpeg,90,256,192,4970,none,.jpeg
0__none__282392,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\282392.jpeg,0,256,192,7000,none,.jpeg
130__none__94575,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\94575.jpeg,130,256,144,3940,none,.jpeg
270__none__361094,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\361094.jpeg,270,256,192,5783,none,.jpeg
130__none__491032,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\491032.jpeg,130,256,144,2759,none,.jpeg
90__none__194460,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\194460.jpeg,90,256,192,7227,none,.jpeg
90__none__5564,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\5564.jpeg,90,256,170,5113,none,.jpeg
0__none__226593,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\226593.jpeg,0,256,192,5959,none,.jpeg
180__none__72368,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\72368.jpeg,180,256,144,3493,none,.jpeg
270__none__274394,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\274394.jpeg,270,256,192,4075,none,.jpeg
0__none__381844,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\381844.jpeg,0,256,192,3750,none,.jpeg
0__none__237206,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\237206.jpeg,0,256,192,7358,none,.jpeg
270__none__322125,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\322125.jpeg,270,256,192,4786,none,.jpeg
90__none__282631,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\282631.jpeg,90,256,192,5913,none,.jpeg
130__none__391113,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\391113.jpeg,130,256,192,5159,none,.jpeg
130__none__294919,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\294919.jpeg,130,256,192,6209,none,.jpeg
270__none__222906,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\222906.jpeg,270,256,144,3756,none,.jpeg
0__none__300381,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\300381.jpeg,0,256,181,6975,none,.jpeg
130__none__418067,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\418067.jpeg,130,256,144,4675,none,.jpeg
90__none__333756,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\333756.jpeg,90,256,144,4156,none,.jpeg
180__none__227380,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\227380.jpeg,180,256,191,3494,none,.jpeg
180__none__469958,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\469958.jpeg,180,256,256,9263,none,.jpeg
180__none__474423,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\474423.jpeg,180,256,192,4631,none,.jpeg
270__none__313276,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\313276.jpeg,270,256,144,3708,none,.jpeg
130__none__343996,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\343996.jpeg,130,256,144,4827,none,.jpeg
90__none__65847,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\65847.jpeg,90,256,144,4483,none,.jpeg
90__none__11312,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\11312.jpeg,90,256,144,4700,none,.jpeg
130__none__272919,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\272919.jpeg,130,256,192,6033,none,.jpeg
270__none__288325,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\288325.jpeg,270,256,192,4834,none,.jpeg
90__none__158381,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\158381.jpeg,90,256,192,5564,none,.jpeg
180__none__318198,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\318198.jpeg,180,256,192,8940,none,.jpeg
270__none__497617,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\497617.jpeg,270,256,192,5052,none,.jpeg
0__none__169217,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\169217.jpeg,0,256,144,3344,none,.jpeg
270__none__333311,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\333311.jpeg,270,256,191,4683,none,.jpeg
90__none__136783,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\136783.jpeg,90,256,144,5067,none,.jpeg
0__none__483654,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\483654.jpeg,0,256,192,8634,none,.jpeg
180__none__413706,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\413706.jpeg,180,256,192,3464,none,.jpeg
180__none__189709,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\189709.jpeg,180,256,192,3755,none,.jpeg
0__none__272674,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\272674.jpeg,0,256,192,4900,none,.jpeg
130__none__80491,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\80491.jpeg,130,256,144,4738,none,.jpeg
130__none__294790,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\294790.jpeg,130,256,192,8216,none,.jpeg
0__none__447240,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\447240.jpeg,0,256,144,3368,none,.jpeg
90__none__295743,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\295743.jpeg,90,256,192,5790,none,.jpeg
0__none__490742,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\490742.jpeg,0,256,192,4136,none,.jpeg
270__none__272787,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\272787.jpeg,270,256,192,5183,none,.jpeg
130__none__359705,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\359705.jpeg,130,256,144,4637,none,.jpeg
0__none__373235,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\373235.jpeg,0,256,192,4153,none,.jpeg
130__none__165477,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\165477.jpeg,130,256,192,4668,none,.jpeg
0__none__489653,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\489653.jpeg,0,256,192,6787,none,.jpeg
180__none__330296,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\330296.jpeg,180,256,144,3685,none,.jpeg
