photo_id,local_path,evaluation_category
cars__3a056d53-19a1-4735-9877-006410dbe1cc.jpeg_3a056d53-19a1-4735-9877-006410dbe1cc,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3a056d53-19a1-4735-9877-006410dbe1cc.jpeg_3a056d53-19a1-4735-9877-006410dbe1cc.jpeg,cars
cars__3aec1514-dfd6-481e-a535-1a736980161c.jpg_3aec1514-dfd6-481e-a535-1a736980161c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3aec1514-dfd6-481e-a535-1a736980161c.jpg_3aec1514-dfd6-481e-a535-1a736980161c.jpg,cars
cars__3b83919f-3ad1-4739-86be-9fa08f615c3d.jpg_3b83919f-3ad1-4739-86be-9fa08f615c3d,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3b83919f-3ad1-4739-86be-9fa08f615c3d.jpg_3b83919f-3ad1-4739-86be-9fa08f615c3d.jpg,cars
cars__3d0a5389-cf87-4793-8061-27eb60d8fbce.jpg_3d0a5389-cf87-4793-8061-27eb60d8fbce,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3d0a5389-cf87-4793-8061-27eb60d8fbce.jpg_3d0a5389-cf87-4793-8061-27eb60d8fbce.jpg,cars
cars__3df50389-c941-4976-b8a3-5317c31755b6.jpg_3df50389-c941-4976-b8a3-5317c31755b6,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3df50389-c941-4976-b8a3-5317c31755b6.jpg_3df50389-c941-4976-b8a3-5317c31755b6.jpg,cars
cars__3e64831b-ca11-4804-8a59-cd3741bbebe4.jpg_3e64831b-ca11-4804-8a59-cd3741bbebe4,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3e64831b-ca11-4804-8a59-cd3741bbebe4.jpg_3e64831b-ca11-4804-8a59-cd3741bbebe4.jpg,cars
cars__3e65b339-a5a5-4077-a293-8feee82bab82.jpg_3e65b339-a5a5-4077-a293-8feee82bab82,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3e65b339-a5a5-4077-a293-8feee82bab82.jpg_3e65b339-a5a5-4077-a293-8feee82bab82.jpg,cars
cars__3f322b53-65ea-4ca6-8b26-70c12ae9339f.jpg_3f322b53-65ea-4ca6-8b26-70c12ae9339f,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\3f322b53-65ea-4ca6-8b26-70c12ae9339f.jpg_3f322b53-65ea-4ca6-8b26-70c12ae9339f.jpg,cars
cars__4acb19df-3ca8-4a4e-89d2-72c99ea77201.jpg_4acb19df-3ca8-4a4e-89d2-72c99ea77201,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4acb19df-3ca8-4a4e-89d2-72c99ea77201.jpg_4acb19df-3ca8-4a4e-89d2-72c99ea77201.jpg,cars
cars__4afc0774-6559-4453-9eb0-a7dd1e80fbda.jpg_4afc0774-6559-4453-9eb0-a7dd1e80fbda,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4afc0774-6559-4453-9eb0-a7dd1e80fbda.jpg_4afc0774-6559-4453-9eb0-a7dd1e80fbda.jpg,cars
cars__4bd9fb50-77c0-440f-a269-437edaeeccbf.png_4bd9fb50-77c0-440f-a269-437edaeeccbf,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4bd9fb50-77c0-440f-a269-437edaeeccbf.png_4bd9fb50-77c0-440f-a269-437edaeeccbf.png,cars
cars__4bea8857-d94b-4aca-818b-653a02e9f4b3.jpg_4bea8857-d94b-4aca-818b-653a02e9f4b3,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4bea8857-d94b-4aca-818b-653a02e9f4b3.jpg_4bea8857-d94b-4aca-818b-653a02e9f4b3.jpg,cars
cars__4c189619-784f-4e13-950e-7af7971807f3.jpg_4c189619-784f-4e13-950e-7af7971807f3,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4c189619-784f-4e13-950e-7af7971807f3.jpg_4c189619-784f-4e13-950e-7af7971807f3.jpg,cars
cars__4d1b2444-25de-4a05-a2f0-742f7368b724.jpg_4d1b2444-25de-4a05-a2f0-742f7368b724,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4d1b2444-25de-4a05-a2f0-742f7368b724.jpg_4d1b2444-25de-4a05-a2f0-742f7368b724.jpg,cars
cars__4d757098-e959-4ca0-90f9-c3bb8cdd68af.jpg_4d757098-e959-4ca0-90f9-c3bb8cdd68af,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4d757098-e959-4ca0-90f9-c3bb8cdd68af.jpg_4d757098-e959-4ca0-90f9-c3bb8cdd68af.jpg,cars
cars__4ecd3d5a-6785-48ad-a377-83059db9efab.png_4ecd3d5a-6785-48ad-a377-83059db9efab,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4ecd3d5a-6785-48ad-a377-83059db9efab.png_4ecd3d5a-6785-48ad-a377-83059db9efab.png,cars
cars__4f36fa9d-2706-4af3-86ed-e4364566ae97.png_4f36fa9d-2706-4af3-86ed-e4364566ae97,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4f36fa9d-2706-4af3-86ed-e4364566ae97.png_4f36fa9d-2706-4af3-86ed-e4364566ae97.png,cars
cars__4f495d2a-0dfc-47c6-a16b-1f3624047adb.png_4f495d2a-0dfc-47c6-a16b-1f3624047adb,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\4f495d2a-0dfc-47c6-a16b-1f3624047adb.png_4f495d2a-0dfc-47c6-a16b-1f3624047adb.png,cars
cars__5b2fe3db-fb4d-4272-bb4f-bbef20a74792.jpg_5b2fe3db-fb4d-4272-bb4f-bbef20a74792,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5b2fe3db-fb4d-4272-bb4f-bbef20a74792.jpg_5b2fe3db-fb4d-4272-bb4f-bbef20a74792.jpg,cars
cars__5ba4b103-e02a-429b-bc9f-28e4449e2f33.jpg_5ba4b103-e02a-429b-bc9f-28e4449e2f33,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5ba4b103-e02a-429b-bc9f-28e4449e2f33.jpg_5ba4b103-e02a-429b-bc9f-28e4449e2f33.jpg,cars
cars__5c619b35-4f0b-4e68-96d6-17b463766a54.jpg_5c619b35-4f0b-4e68-96d6-17b463766a54,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5c619b35-4f0b-4e68-96d6-17b463766a54.jpg_5c619b35-4f0b-4e68-96d6-17b463766a54.jpg,cars
cars__5ca98c33-44c3-4a6c-b35b-4460990cdda7.jpg_5ca98c33-44c3-4a6c-b35b-4460990cdda7,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5ca98c33-44c3-4a6c-b35b-4460990cdda7.jpg_5ca98c33-44c3-4a6c-b35b-4460990cdda7.jpg,cars
cars__5d669e66-e18b-49fb-a33c-54f4c247ab1e.jpg_5d669e66-e18b-49fb-a33c-54f4c247ab1e,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5d669e66-e18b-49fb-a33c-54f4c247ab1e.jpg_5d669e66-e18b-49fb-a33c-54f4c247ab1e.jpg,cars
cars__5ddcb02c-02b6-481f-b916-0ff97ac2e98c.jpg_5ddcb02c-02b6-481f-b916-0ff97ac2e98c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5ddcb02c-02b6-481f-b916-0ff97ac2e98c.jpg_5ddcb02c-02b6-481f-b916-0ff97ac2e98c.jpg,cars
cars__5dff0873-d5bf-4476-96d1-fa9041db943b.jpg_5dff0873-d5bf-4476-96d1-fa9041db943b,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5dff0873-d5bf-4476-96d1-fa9041db943b.jpg_5dff0873-d5bf-4476-96d1-fa9041db943b.jpg,cars
cars__5e4030cd-066a-4858-bd29-1f50686bd65c.jpg_5e4030cd-066a-4858-bd29-1f50686bd65c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5e4030cd-066a-4858-bd29-1f50686bd65c.jpg_5e4030cd-066a-4858-bd29-1f50686bd65c.jpg,cars
cars__5e5d4011-a2e4-4133-82b4-275dd947ae48.jpg_5e5d4011-a2e4-4133-82b4-275dd947ae48,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5e5d4011-a2e4-4133-82b4-275dd947ae48.jpg_5e5d4011-a2e4-4133-82b4-275dd947ae48.jpg,cars
cars__5e94fc9a-ac72-401c-8621-8b85c2168e29.jpg_5e94fc9a-ac72-401c-8621-8b85c2168e29,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5e94fc9a-ac72-401c-8621-8b85c2168e29.jpg_5e94fc9a-ac72-401c-8621-8b85c2168e29.jpg,cars
cars__5eca0d0d-5c95-4cc8-b5bf-6a664be299c0.png_5eca0d0d-5c95-4cc8-b5bf-6a664be299c0,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5eca0d0d-5c95-4cc8-b5bf-6a664be299c0.png_5eca0d0d-5c95-4cc8-b5bf-6a664be299c0.png,cars
cars__5f5f0a64-c917-4209-85f4-cb744a987ef0.jpeg_5f5f0a64-c917-4209-85f4-cb744a987ef0,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5f5f0a64-c917-4209-85f4-cb744a987ef0.jpeg_5f5f0a64-c917-4209-85f4-cb744a987ef0.jpeg,cars
cars__5f7b84b4-7e1f-4a9f-95e9-b4eae763091d.jpg_5f7b84b4-7e1f-4a9f-95e9-b4eae763091d,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\5f7b84b4-7e1f-4a9f-95e9-b4eae763091d.jpg_5f7b84b4-7e1f-4a9f-95e9-b4eae763091d.jpg,cars
cars__6a711141-9680-4d8a-b37c-d521c5babd60.jpg_6a711141-9680-4d8a-b37c-d521c5babd60,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6a711141-9680-4d8a-b37c-d521c5babd60.jpg_6a711141-9680-4d8a-b37c-d521c5babd60.jpg,cars
cars__6a86547d-044a-4f00-9327-f2e8e8fbb96e.jpg_6a86547d-044a-4f00-9327-f2e8e8fbb96e,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6a86547d-044a-4f00-9327-f2e8e8fbb96e.jpg_6a86547d-044a-4f00-9327-f2e8e8fbb96e.jpg,cars
cars__6b1c1cb7-4a82-45d0-8bb7-4a2c05ecc439.jpg_6b1c1cb7-4a82-45d0-8bb7-4a2c05ecc439,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6b1c1cb7-4a82-45d0-8bb7-4a2c05ecc439.jpg_6b1c1cb7-4a82-45d0-8bb7-4a2c05ecc439.jpg,cars
cars__6c0d3420-55f0-450d-a046-90c942beb856.jpg_6c0d3420-55f0-450d-a046-90c942beb856,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6c0d3420-55f0-450d-a046-90c942beb856.jpg_6c0d3420-55f0-450d-a046-90c942beb856.jpg,cars
cars__6cb2bf3d-f247-45a2-9159-900d8f4d6e43.jpg_6cb2bf3d-f247-45a2-9159-900d8f4d6e43,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6cb2bf3d-f247-45a2-9159-900d8f4d6e43.jpg_6cb2bf3d-f247-45a2-9159-900d8f4d6e43.jpg,cars
cars__6cec09b1-462f-421c-9de1-ef57837b3f33.jpg_6cec09b1-462f-421c-9de1-ef57837b3f33,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6cec09b1-462f-421c-9de1-ef57837b3f33.jpg_6cec09b1-462f-421c-9de1-ef57837b3f33.jpg,cars
cars__6de74ac5-23f0-4259-89f3-eea351f88da9.jpg_6de74ac5-23f0-4259-89f3-eea351f88da9,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6de74ac5-23f0-4259-89f3-eea351f88da9.jpg_6de74ac5-23f0-4259-89f3-eea351f88da9.jpg,cars
cars__6eba1f08-d2be-4f82-b335-6ceb2f794c80.jpg_6eba1f08-d2be-4f82-b335-6ceb2f794c80,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6eba1f08-d2be-4f82-b335-6ceb2f794c80.jpg_6eba1f08-d2be-4f82-b335-6ceb2f794c80.jpg,cars
cars__6efd33d5-3073-472b-b865-eaaa96129a65.jpg_6efd33d5-3073-472b-b865-eaaa96129a65,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6efd33d5-3073-472b-b865-eaaa96129a65.jpg_6efd33d5-3073-472b-b865-eaaa96129a65.jpg,cars
cars__6fdce249-4722-46f0-bdc2-9cac57f80d53.jpg_6fdce249-4722-46f0-bdc2-9cac57f80d53,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6fdce249-4722-46f0-bdc2-9cac57f80d53.jpg_6fdce249-4722-46f0-bdc2-9cac57f80d53.jpg,cars
cars__6ff7d721-708c-485e-a151-46d79ae91123.jpg_6ff7d721-708c-485e-a151-46d79ae91123,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\6ff7d721-708c-485e-a151-46d79ae91123.jpg_6ff7d721-708c-485e-a151-46d79ae91123.jpg,cars
cars__7a36b9e5-4904-4db2-848a-b86ca6c23447.jpg_7a36b9e5-4904-4db2-848a-b86ca6c23447,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7a36b9e5-4904-4db2-848a-b86ca6c23447.jpg_7a36b9e5-4904-4db2-848a-b86ca6c23447.jpg,cars
cars__7a407c4b-3f86-4517-b5da-5c358ccf7a92.jpg_7a407c4b-3f86-4517-b5da-5c358ccf7a92,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7a407c4b-3f86-4517-b5da-5c358ccf7a92.jpg_7a407c4b-3f86-4517-b5da-5c358ccf7a92.jpg,cars
cars__7adbe50d-20be-42bc-b4e8-7c50468585fa.jpg_7adbe50d-20be-42bc-b4e8-7c50468585fa,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7adbe50d-20be-42bc-b4e8-7c50468585fa.jpg_7adbe50d-20be-42bc-b4e8-7c50468585fa.jpg,cars
cars__7afb8742-6a25-491c-877a-5d8fe2446c32.jpg_7afb8742-6a25-491c-877a-5d8fe2446c32,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7afb8742-6a25-491c-877a-5d8fe2446c32.jpg_7afb8742-6a25-491c-877a-5d8fe2446c32.jpg,cars
cars__7b31c9aa-5a22-4276-b85c-b71fe96512eb.jpeg_7b31c9aa-5a22-4276-b85c-b71fe96512eb,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7b31c9aa-5a22-4276-b85c-b71fe96512eb.jpeg_7b31c9aa-5a22-4276-b85c-b71fe96512eb.jpeg,cars
cars__7b735970-b07e-4715-8ca5-b9ccc526f57a.jpg_7b735970-b07e-4715-8ca5-b9ccc526f57a,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7b735970-b07e-4715-8ca5-b9ccc526f57a.jpg_7b735970-b07e-4715-8ca5-b9ccc526f57a.jpg,cars
cars__7bbdd112-e9eb-4558-9052-5a913efe516f.jpg_7bbdd112-e9eb-4558-9052-5a913efe516f,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7bbdd112-e9eb-4558-9052-5a913efe516f.jpg_7bbdd112-e9eb-4558-9052-5a913efe516f.jpg,cars
cars__7c62b390-f6bc-40cf-b2e1-f5a9b7300508.JPG_7c62b390-f6bc-40cf-b2e1-f5a9b7300508,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7c62b390-f6bc-40cf-b2e1-f5a9b7300508.JPG_7c62b390-f6bc-40cf-b2e1-f5a9b7300508.JPG,cars
cars__7d304174-683a-404d-aa08-68f21c17b91c.jpg_7d304174-683a-404d-aa08-68f21c17b91c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7d304174-683a-404d-aa08-68f21c17b91c.jpg_7d304174-683a-404d-aa08-68f21c17b91c.jpg,cars
cars__7e0bb493-e861-497b-b2d4-16fb9b08bc01.jpg_7e0bb493-e861-497b-b2d4-16fb9b08bc01,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\7e0bb493-e861-497b-b2d4-16fb9b08bc01.jpg_7e0bb493-e861-497b-b2d4-16fb9b08bc01.jpg,cars
cars__8aa2b6c5-52a1-44b0-959d-47fd5e6ea9ca.jpg_8aa2b6c5-52a1-44b0-959d-47fd5e6ea9ca,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\8aa2b6c5-52a1-44b0-959d-47fd5e6ea9ca.jpg_8aa2b6c5-52a1-44b0-959d-47fd5e6ea9ca.jpg,cars
cars__8b19c5b3-bc41-4983-a05c-58b8cbc17a93.png_8b19c5b3-bc41-4983-a05c-58b8cbc17a93,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\8b19c5b3-bc41-4983-a05c-58b8cbc17a93.png_8b19c5b3-bc41-4983-a05c-58b8cbc17a93.png,cars
cars__8baff1aa-1c2d-48f7-bf2e-b91be29c860c.jpg_8baff1aa-1c2d-48f7-bf2e-b91be29c860c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\8baff1aa-1c2d-48f7-bf2e-b91be29c860c.jpg_8baff1aa-1c2d-48f7-bf2e-b91be29c860c.jpg,cars
cars__8bbf8e4f-27f1-44e1-ab81-57e1ba165c9f.jpg_8bbf8e4f-27f1-44e1-ab81-57e1ba165c9f,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\8bbf8e4f-27f1-44e1-ab81-57e1ba165c9f.jpg_8bbf8e4f-27f1-44e1-ab81-57e1ba165c9f.jpg,cars
cars__8bc3b0ce-34e1-4b52-8ac6-b74b33ab5e8d.jpeg_8bc3b0ce-34e1-4b52-8ac6-b74b33ab5e8d,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\8bc3b0ce-34e1-4b52-8ac6-b74b33ab5e8d.jpeg_8bc3b0ce-34e1-4b52-8ac6-b74b33ab5e8d.jpeg,cars
